target,method,Z2,A2,I2_eV,density,I2_source,I2_imputed_elems,validated_by_physics,n_records,n_e_1e23
"1,2-ethanediol",name_map,3.4,6.206799999999999,66.82769457833678,,additivity,0.0,False,1,
"1,3-propanediol",name_map,3.230769230769231,5.853461538461539,64.38052775219053,,additivity,0.0,False,1,
"1,4-butanediol",name_map,3.125,5.632625,62.76784361138329,,additivity,0.0,False,1,
"1,5-pentanediol",name_map,3.052631578947368,5.481526315789473,61.62531422206024,,additivity,0.0,False,1,
2-Butanone,name_map,3.076923076923077,5.546692307692307,61.30017698552016,,additivity,0.0,False,18,
2-methyl-1 3-butadiene,name_map,2.923076923076923,5.239923076923077,58.06675767011147,,additivity,0.0,False,1,
3-Pentanone,name_map,3.0,5.383374999999999,60.1913591769774,,additivity,0.0,False,18,
A-150,weight_frac,3.1879884538061187,5.806807021726458,65.1,1.127,NIST_measured,0.0,False,21,3.726097072074182
Acetaldehyde,name_map,3.4285714285714284,6.293285714285714,65.94350718296434,,additivity,0.0,False,18,
Acetone,name_map,3.2,5.808,63.00182002322943,,additivity,0.0,False,22,
Acetylene,name_map,3.5,6.509499999999999,63.84459269787857,,additivity,0.0,False,105,
Ag,element,47.0,107.868,470.0,,additivity,0.0,False,3051,
AgGaS2,formula,27.5,60.42775,322.87279566973865,,additivity,0.0,False,5,
AgGaSe2,formula,36.5,83.88325,380.02231436147326,,additivity,0.0,False,5,
Air,weight_frac,7.261923377909054,14.54753113960076,85.7,0.001205,NIST_measured,0.0,False,422,0.0036224326205099525
Al,element,13.0,26.982,166.0,,additivity,0.0,False,3238,
Al2O3,formula,10.0,20.3922,126.98824941843448,,additivity,0.0,False,864,
AlF3,formula,10.0,20.994,129.57051079449775,,additivity,0.0,False,42,
Allene,name_map,3.1428571428571432,5.723571428571429,60.4511961008397,,additivity,0.0,False,33,
Ammonia,name_map,2.5,4.25775,53.04690683672675,,additivity,0.0,False,36,
Anthracene,name_map,3.9166666666666665,7.426416666666666,67.19382286281994,,additivity,0.0,False,26,
Ar,element,18.0,39.948,188.0,,additivity,0.0,False,870,
Au,element,79.0,196.967,790.0,,additivity,0.0,False,4297,
B,element,5.0,10.81,76.0,,additivity,0.0,False,146,
BaCl2,formula,30.0,69.409,331.803086977287,,additivity,0.0,False,6,
BaF2,formula,24.666666666666668,58.441,344.94108745373507,,additivity,0.0,False,6,
Be,element,4.0,9.012,63.7,,additivity,0.0,False,535,
Benzene,name_map,3.5,6.509500000000001,63.84459269787851,,additivity,0.0,False,111,
Bi,element,83.0,208.98,823.0,,additivity,0.0,False,428,
Boric-acid trimethyl ester,name_map,3.5,6.4945,67.59953699086296,,additivity,0.0,False,1,
Br,element,35.0,79.904,343.0,,additivity,0.0,False,62,
Bromoethane,name_map,6.5,13.62075,184.70537353957172,,additivity,0.0,False,18,
Butadiene,name_map,3.0,5.409199999999999,58.92993036296684,,additivity,0.0,False,54,
Butane,name_map,2.4285714285714284,4.151714285714285,51.64612332938937,,additivity,0.0,False,442,
Butanol,name_map,2.8,4.941533333333333,58.003484690464425,,additivity,0.0,False,4,
Butene,name_map,2.6666666666666665,4.675666666666666,54.9409619588425,,additivity,0.0,False,89,
Butyne,name_map,3.0,5.409199999999999,58.92993036296684,,additivity,0.0,False,15,
Butyraldehyde,name_map,3.076923076923077,5.546692307692307,61.30017698552016,,additivity,0.0,False,18,
C2H2ClF3,formula,7.25,14.81025,112.64779626098462,,additivity,0.0,False,22,
C2H3ClF2,formula,6.25,12.5615,108.32750617826535,,additivity,0.0,False,31,
CBrF3,formula,13.6,29.781799999999997,195.0287247391604,,additivity,0.0,False,93,
CCl2F2,formula,11.6,24.1814,140.82710832794427,,additivity,0.0,False,92,
CCl4,formula,14.799999999999999,30.762200000000004,163.04075167257733,,additivity,0.0,False,113,
CClF3,formula,10.0,20.891,126.36154593787433,,additivity,0.0,False,94,
CF4,formula,8.4,17.6006,108.79568314902521,,additivity,0.0,False,159,
CH,formula,3.5,6.509499999999999,63.84459269787857,,additivity,0.0,False,36,
CH2,formula,2.6666666666666665,4.675666666666666,54.9409619588425,,additivity,0.0,False,7,
CH2Cl2,formula,8.4,16.985400000000002,139.6969017160571,,additivity,0.0,False,58,
CH4,formula,2.0,3.2085999999999997,44.52226528954006,,additivity,0.0,False,382,
CHCl2F,formula,10.0,20.5834,140.35131207467634,,additivity,0.0,False,18,
CO2,formula,7.333333333333333,14.669666666666668,90.02647403222102,,additivity,0.0,False,323,
CR-39,name_map,3.945945945945946,7.4126756756756755,70.77532728577607,,additivity,0.0,False,139,
CS2,formula,12.666666666666666,25.377000000000002,157.73520181217242,,additivity,0.0,False,18,
Ca,element,20.0,40.078,191.0,,additivity,0.0,False,152,
CaF2,formula,12.666666666666668,26.02466666666667,150.19791609589987,,additivity,0.0,False,107,
Carbon,element_alias,6.0,12.011,78.0,2.2,additivity,0.0,False,3293,6.618288071934062
Carbon monoxide,name_map,7.0,14.004999999999999,87.30225494512098,,additivity,0.0,False,18,
Cd,element,48.0,112.414,469.0,,additivity,0.0,False,54,
CdTe,formula,50.0,120.007,477.253001690423,,additivity,0.0,False,46,
Ce,element,58.0,140.116,523.0,,additivity,0.0,False,26,
Celluloid,UNRESOLVED,,,,,,,False,17,
Chloroform,name_map,11.6,23.873800000000003,154.16931394003433,,additivity,0.0,False,58,
Cl,element,17.0,35.45,174.0,,additivity,0.0,False,74,
Co,element,27.0,58.933,297.0,,additivity,0.0,False,201,
Cr,element,24.0,51.996,257.0,,additivity,0.0,False,366,
Cs,element,55.0,132.905,488.0,,additivity,0.0,False,62,
Cu,element,29.0,63.546,322.0,,additivity,0.0,False,1867,
Cycloheptane,name_map,2.6666666666666665,4.675666666666666,54.9409619588425,,additivity,0.0,False,4,
Cycloheptatriene,name_map,3.333333333333333,6.142733333333333,62.328641734641586,,additivity,0.0,False,1,
Cyclohexadiene,name_map,3.1428571428571432,5.723571428571429,60.4511961008397,,additivity,0.0,False,18,
Cyclohexane,name_map,2.6666666666666665,4.675666666666666,54.94096195884245,,additivity,0.0,False,94,
Cyclohexanone,name_map,3.1764705882352944,5.773235294117647,61.94993672832773,,additivity,0.0,False,18,
Cyclohexene,name_map,2.875,5.134125,57.5106421749756,,additivity,0.0,False,22,
Cyclooctane,name_map,2.6666666666666665,4.675666666666666,54.9409619588425,,additivity,0.0,False,22,
Cyclopentane,name_map,2.6666666666666665,4.6756666666666655,54.9409619588425,,additivity,0.0,False,37,
Cyclopentene,name_map,2.923076923076923,5.239923076923077,58.06675767011147,,additivity,0.0,False,37,
Cyclopropane,name_map,2.6666666666666665,4.675666666666666,54.94096195884245,,additivity,0.0,False,69,
D2,element_alias,1.0,2.014,19.2,,additivity,0.0,False,66,
D2O,name_map,3.333333333333333,6.005,68.99841746795269,,additivity,0.0,False,32,
Decane,name_map,2.5625,4.4464375,53.55003944078429,,additivity,0.0,False,20,
Decanol,name_map,2.7272727272727275,4.796515151515151,56.349479847572844,,additivity,0.0,False,4,
Decene,name_map,2.6666666666666665,4.6756666666666655,54.9409619588425,,additivity,0.0,False,4,
Diamond,element_alias,6.0,12.011,78.0,3.515,additivity,0.0,False,219,10.574219351294648
Dibromotetrafluoroethane,name_map,14.75,32.47775,211.39363870693438,,additivity,0.0,False,18,
Diethyl ether,name_map,2.8,4.941533333333333,58.003484690464425,,additivity,0.0,False,22,
Difluoroethane,name_map,4.25,8.25625,81.23298092527338,,additivity,0.0,False,18,
Difluoroethene,name_map,5.333333333333334,10.672333333333334,88.8964335931336,,additivity,0.0,False,18,
Dimethyl disulfide,name_map,5.0,9.419,112.58311360320226,,additivity,0.0,False,18,
Dimethyl ether,name_map,2.888888888888889,5.118777777777778,59.97236969353449,,additivity,0.0,False,18,
Dimethyl sulfide,name_map,3.7777777777777777,6.903333333333334,90.27504759395144,,additivity,0.0,False,18,
Dimethyl sulfite,name_map,4.833333333333333,9.17725,92.20100949141359,,additivity,0.0,False,13,
Dimethylamine,name_map,2.5999999999999996,4.5085,54.2046050792704,,additivity,0.0,False,18,
Dodecane,name_map,2.5789473684210527,4.482631578947369,53.77469963533932,,additivity,0.0,False,4,
Dy,element,66.0,162.5,628.0,,additivity,0.0,False,81,
EP-PTCDI,UNRESOLVED,,,,,,,False,31,
Er,element,68.0,167.259,658.0,,additivity,0.0,False,122,
Er2O3,formula,32.0,76.503,492.21013322733535,,additivity,0.0,False,22,
Ethane,name_map,2.25,3.75875,48.883633349958245,,additivity,0.0,False,87,
Ethanol,name_map,2.888888888888889,5.118777777777778,59.97236969353449,,additivity,0.0,False,132,
Ethyl Cellulose,name_map,3.435897435897436,6.315461538461539,65.72102800604745,,additivity,0.0,False,14,
Ethyl iodide,name_map,8.75,19.49575,284.1558346601555,,additivity,0.0,False,18,
Ethylamine,name_map,2.5999999999999996,4.5085,54.2046050792704,,additivity,0.0,False,18,
Ethylene,name_map,2.6666666666666665,4.675666666666666,54.9409619588425,,additivity,0.0,False,188,
